question_num,question_text,H_statistic,p_value,significant,n_programs,n_total
1,Чи відповідає навчання на освітній програмі Вашим очікуванням?,0.407,0.816,False,3,61
3,Чи задоволені Ви рівнем отримуваних знань та умінь?,5.495,0.0641,False,3,61
7,Як Ви оцінюєте дієвість процедур формування індивідуальної освітньої траєкторії?,3.347,0.1875,False,3,61
12,Чи задовольняє Вас рівень організації та зміст практик?,2.344,0.3098,False,3,61
19,Чи задоволені Ви формами й методами навчання та викладання на освітній програмі?,0.682,0.7112,False,3,61
20,"Чи погоджуєтеся Ви з твердженням, що викладання в Університеті є студентоцентров",3.72,0.1557,False,3,61
28,Чи вважаєте Ви контрольні заходи прозорими і зрозумілими?,1.033,0.5966,False,3,61
34,"Чи вважаєте Ви викладачів, які у Вас викладають, професіоналами високого рівня?",4.218,0.1214,False,3,61
37,Чи задоволені Ви рівнем матеріально-технічного забезпечення навчання на освітній,8.708,0.0129,True,3,61
39,Чи задоволені Ви рівнем інформаційного та навчально-методичного забезпечення нав,6.019,0.0493,True,3,61
49,"Чи вважаєте Ви освітню програму, за якою навчаєтеся, актуальною, затребуваною, т",0.306,0.8581,False,3,61
