question_num,question_text,response
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.","Я вважаю, що багато часу віднімають предмети не за фахом, такі як етика, економіка..."
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.","Фізкультура, медицина 50/50 
<br />Філософія 50/50, естетика 50/50
<br />"
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.",Дуже багато нефахових предметів
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.",Філософія
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.",Фізична культура на 2-му курсі
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.",ФІЛОСОФІЯ ФІЛОСОФІЯ ФІЛОСОФІЯ
5,"Чи є дисципліни, які видаються Вам зайвими і непотрібними? Якщо є, напишіть.","Актуальні проблеми української історії та культури
<br />Основи медичних знань"
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,"Комп'ютерні технології, проектування інтер'єру"
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,"Живопис,рисунок ,матеріалознавство,"
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,"Живопис, рисунок, шрифт, проектна графіка"
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,"Инженерна графіка,  ТМППС,  Живопис,  Малюнок,"
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,"Малюнок, Живопис, композиція, комп'ютерні технології, етнодизайн, тмп, формоутворення"
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,"Дисципліни за фахом, комп`ютерні технології, проектування і т.д."
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,"Рисунок
<br />Живопис
<br />Фізична культура
<br />Компьютерні технологіі в дизайні"
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,"Усі, але особливо ті, що стосуються саме мого фаху та спеціалізації, для покращення вмінь та творчих здібностей"
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,композиция в интерьере
6,Які дисципліни Ви вважаєте найбільш важливими? Напишіть.,"Живопис, малюнок, композиція, компютерна графіка, скульптура, проектна графіка."
9,Які дисципліни Ви хотіли би бачити в переліку вибіркових? Напишіть.,Тільки більше предметів за фахом
9,Які дисципліни Ви хотіли би бачити в переліку вибіркових? Напишіть.,"Наприклад дисципліни пов'язані з комп'ютерними технологіями, вивчення малюнку, живопису у діджиталі, програмі для малювання на комп'ютері, анімація, ілюстрація, основи ілюстрації"
9,Які дисципліни Ви хотіли би бачити в переліку вибіркових? Напишіть.,-
9,Які дисципліни Ви хотіли би бачити в переліку вибіркових? Напишіть.,"Психологія; все що пов'язано з дизайном, інтер'єром"
11,Що Ви можете запропонувати для вдосконалення методики формування індивідуального,Прибрати пари які не відповідають майбутній професії
11,Що Ви можете запропонувати для вдосконалення методики формування індивідуального,Більше варіантів
11,Що Ви можете запропонувати для вдосконалення методики формування індивідуального,Більше практики
14,"Чи варто внести зміни до змісту практик і завдань? Якщо так, напишіть, що саме.","Більше практики і практики подібної до того, що ми робили якщо б працювали за фахом"
14,"Чи варто внести зміни до змісту практик і завдань? Якщо так, напишіть, що саме.","так, потрібно, навіть предмети за фахом не зовсім відповідають, вивчається ніби- то по спеціальності, але якщо конкретно влаштуватися на роботу за фахом, я нічого не вмію, комп. програми в нас викладаються, але на низькому рівні, конкретно не вивчаємо усю періодичність проекту з дизайн інтер`єру, від замірів і креслення до кінцевого результату"
14,"Чи варто внести зміни до змісту практик і завдань? Якщо так, напишіть, що саме.",-
14,"Чи варто внести зміни до змісту практик і завдань? Якщо так, напишіть, що саме.",На мій погляд 50 робіт занадто багато і дуже складно.
15,Що слід покращити в організації практик? Напишіть.,Зменшити кількість робіт для виконання
15,Що слід покращити в організації практик? Напишіть.,-
15,Що слід покращити в організації практик? Напишіть.,"Можливо, більше взаємодії та співпраці з потенціальними клієнтами дизайнерів."
15,Що слід покращити в організації практик? Напишіть.,"ввести у організацію практик розробляти проекти квартир, будинків, кафе і т.д., щоб були вже навички перед тим, як працювати"
17,"Чи є дисципліни, які, на Вашу думку, мають забагато матеріалу і завдань і з яких",теория и методика дизайна
17,"Чи є дисципліни, які, на Вашу думку, мають забагато матеріалу і завдань і з яких","Конкретної дисципліни немає, але всі разом з розрахунком того, що на предмети творчого характеру витрачається багато годин та материіалів, часу не вистачає."
17,"Чи є дисципліни, які, на Вашу думку, мають забагато матеріалу і завдань і з яких","Рисунок та Живопис, КТД"
17,"Чи є дисципліни, які, на Вашу думку, мають забагато матеріалу і завдань і з яких","Композиція в дизайні
<br />Проектна графіка"
17,"Чи є дисципліни, які, на Вашу думку, мають забагато матеріалу і завдань і з яких","Медицина, Історія України, Українська мова"
21,"Хто з викладачів, на Вашу думку, найбільш професійно викладає навчальні дисциплі","Дмитренко 
<br />Зенькович
<br />Анна Петрівна
<br />Андріанов 
<br />"
21,"Хто з викладачів, на Вашу думку, найбільш професійно викладає навчальні дисциплі","Дмитренко В.В. , Щербина В.Г. , Школяр А.В. , Ємельова А.П. ,"
21,"Хто з викладачів, на Вашу думку, найбільш професійно викладає навчальні дисциплі",Балюк
21,"Хто з викладачів, на Вашу думку, найбільш професійно викладає навчальні дисциплі","Філософія, Зенькович, Ємельова, Дмитренко"
21,"Хто з викладачів, на Вашу думку, найбільш професійно викладає навчальні дисциплі",Томашевський В.В
32,"Якщо Ви стали свідком чи учасником випадку необ’єктивного оцінювання, як був уре",-
32,"Якщо Ви стали свідком чи учасником випадку необ’єктивного оцінювання, як був уре",.....
32,"Якщо Ви стали свідком чи учасником випадку необ’єктивного оцінювання, як був уре",Я просто погодилась з думкою викладача
38,"Що, на Вашу думку, слід покращити в матеріально-технічному забезпеченні? Напишіт",....
38,"Що, на Вашу думку, слід покращити в матеріально-технічному забезпеченні? Напишіт","Покращити те, що є
<br />"
38,"Що, на Вашу думку, слід покращити в матеріально-технічному забезпеченні? Напишіт",-
40,"Що, на Вашу думку, слід покращити в інформаційному та навчально-методичному забе",переглянути актуальність інформації
40,"Що, на Вашу думку, слід покращити в інформаційному та навчально-методичному забе",-
40,"Що, на Вашу думку, слід покращити в інформаційному та навчально-методичному забе",Надавати сучасну та прогназуючу на майбутнє інформаційне та навчально-методичне забезпечення (що стосується спеціалізації)
40,"Що, на Вашу думку, слід покращити в інформаційному та навчально-методичному забе",.....
40,"Що, на Вашу думку, слід покращити в інформаційному та навчально-методичному забе",Простоту доступу та своечасність інформації на сайті
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,"Покращити те, що вже є"
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,идти в ногу со временем
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,"Щоб викладачі краще ставилися до студентів, не ігнорували, оцінювали справедливо і доносили інформацію до студентів вчасно."
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,.
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,Ніяких
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,Слідкувати за теннденціями і завжди оновлювати матеріал
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,Мені здаеться що замість медицини краще було б щось інше
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,Скасувати дисципліни якіі не відповідають моєї професії
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,"Забезпечити факультет більш новітніми технологіями, наприклад комп'ютери, графічні планшети, інші засоби для праці на комп'ютері, адже у нас час важко без комп'ютерних технологій"
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,Сучасність
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,"Осучаснення ведення деяких дисциплін, покращення и осучаснення приміщень де навчаються,  хоча б нові мольберти , козли, нові скелети і частини людини, нові голови та інші гіпсові частини"
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,переглянути яких потребують навичок роботодавці і внести їх в навчання
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,"Виключити з навчальної програми такі предмети як: філософія, укр.мова і т.д."
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,"придатність до працевлаштування та подальшого навчання, легкість отримання індивідуального графіку відвідування занять, можливо практика на виробництві (або компанії\фірмі) за своєю спеціальністю."
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,Прибрати пари які не відповідають майбутній професії
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,Важко відповісти
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,Якомога бильше надати годин щодо профпредметів.
